Accession,earlySecretoryPhase,midSecretoryPhase,lateSecretoryPhase,samples,platform,experimentType,fileFormat,codingNonCoding,naturalStimulated,condition,title,published
GSE165004,0,72,0,72 samples (Mid-secretory phase) ,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381,Expression profiling by array (mRNA),TXT,coding,natural cycle,healthy vs Unexplained infertility vs recurrent pregnancy losses (RIF),"	Endometrial Tissue RNA expression in recurrent pregnancy losses and unexplained infertility vs. conrol","Public on Jan 18, 2021"
GSE147442,0,16,0,16 samples (Mid-secretory phases),Arraystar Human CircRNA microarray V2,Non-coding RNA profiling by array (circRNAs),TXT,Non-coding,natural cycle,Healthy vs RIF,"	Differentially expressed circRNAs in recurrent implantation failure","Public on Sep 15, 2021"
GSE71331,0,12,0,12 samples (Mid-secretory phases),Agilent-052909 CBC_lncRNAmRNA_V3,Non-coding RNA profiling by array (lncRNA),TXT,Non-coding,natural cycle,Healthy vs RIF,"	Abberant lncRNA expression profiles in recurrent implantation failure endometrium","Public on Jul 24, 2018"
GSE71332,0,12,0,12 samples (Mid-secretory phases),Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray,Non-coding RNA profiling by array (miRNA),TXT,Non-coding,natural cycle,Healthy vs RIF,Abberant miRNA expression profiles in recurrent implantation failure endometrium,"Public on Jun 12, 2017"
E-MTAB-3655,0,15,0,"15 samples (Mid-secretory phase)(5 control, 5 natural cycle, 5 stimulated cycle)",A-MEXP-1125 - Agilent Whole Human Genome Microarray 4x44K 014850 G4112F,Expression profiling by array (mRNA),,coding,natural cycle,healthy vs RIF,Natural cycle frozen embryo transfer is superior to artificial cycle in women with recurrent implantation failure: endometrial transcriptome study,42384
GSE188409,0,10,0,10 samples (mid-secretory phase),Agilent-085982 Arraystar human lncRNA V5 microarray,Non-coding RNA profiling by array,TXT,Non-coding,natural,healthy vs RIF,Expression data of endometrium from patients with recurrent implantation failure and normal women,"Public on Mar 02, 2022"
GSE144895,0,20,0,20 samples (Mid-secretory phase),Illumina NextSeq 500 (Homo sapiens),Expression profiling by high throughput sequencing,TSV,coding,Natural cycle,RIF,Dysregulation of the IL-17A pathway in women with unexplained infertility affects pregnancy outcome following assisted reproductive therapy,"Public on Jan 06, 2021"
GSE29981,6,4,0,20 samples (Mid & late proliferative; early & mid-secretory phases),Affymetrix Human Genome U133 Plus 2.0 Array,Expression profiling by array (mRNA),CEL,coding,Natural cycle,healthy in different phases,,
GSE111976,521,558,334,2158 samples (1413  Early and mid-secretory phase and late secretory),Illumina NextSeq 500 (Homo sapiens),Expression profiling by high throughput sequencing (mRNA),CSV,coding,Natural cycle,healthy,,
GSE109053,6,6,0,(Early secretory and mid-secretory phase),Illumina HiSeq 2500 ,Non-coding RNA profiling by high throughput sequencing,CSV,Non-coding,Natural cycle,healthy,"	MicroRNA markers of human endometrial receptivity","	Public on Mar 01, 2018"
GSE98386,20,20,0,40 samples (Early and mid-secretory phase) ,Illumina HiSeq 2500 (Homo sapiens),Expression profiling by high throughput sequencing,CSV/TSV,coding,Natural cycle,healthy,Expression profile of early and mid-secretory healthy human endometrium revealed by RNA-seq,"	Public on Nov 09, 2017"
GSE126581,166,132,23,"321 samples (PF, EPR, LPR, RR, LR, PS) proliferative (PF), early prereceptive (EPR), late prereceptive (LPR), late receptive (LR), postreceptive (PS), and receptive (RR)",Agilent-016088 custom human microarray,Expression profiling by array,GPR,coding,Natural cycle,healthy,"	Characterizing the Human Menstrual Cycle from a gene co-expression perspective reveals the pregnant endometrium as a global transcriptionally derepressed state","	Public on Sep 15, 2021"
GSE34435,4,3,0,7 samples  (Early and mid-secretory phase) ,Agilent-019118 Human miRNA Microarray 2.0 (iG_Human-miRNA_15k_v2),"	Non-coding RNA profiling by array",GPR,Non-coding,Natural cycle,healthy,"	Epigenetic regulation of receptive human endometrium through microRNAs","Public on Jun 23, 2012"
GSE26516,1,1,0,4 samples (Early secretory and mid-secretory phase)(1 and 1 in natural cycle),Illumina Genome Analyzer IIx (Homo sapiens),Non-coding RNA profiling by high throughput sequencing (miRNA),SRA,Non-coding,natural and stimulated cycles,Natural vs stimulated cycle,Genome-wide identification of micro-ribonucleic acids associated with human endometrial receptivity in natural and stimulated cycles by deep sequencing,"Public on Apr 01, 2011"
GSE86491,0,20,0,40 samples (Proliferative and secretory phases),Illumina HiSeq 2500 (Homo sapiens),Expression profiling by high throughput sequencing/ Non-coding RNA profiling by high throughput sequencing (mRNA/small RNA),TXT (count files),non-coding,Natural cycle,healthy (mRNA vs small RNA),Comprehensive RNA sequencing of healthy human endometrium at two time points of the menstrual cycle,"Public on Dec 01, 2016"
GSE167325,0,4,0,8 samples (Proliferative and mid-secretory phases),Illumina HiSeq 2500 (Homo sapiens),"Non-coding RNA profiling by high throughput sequencing (lncRNA, miRNA and mRNA)",TXT,Non-coding,natural cycle,proliferative vs mid-secretory phase (healthy),Transcriptomic analysis and competing endogenous RNA network in the human endometrium between proliferative and mid-secretory phases,"	Public on Feb 24, 2021"
GSE158958,5,5,0,proliferative and secretory (10 samples),Illumina NextSeq 500,"	Expression profiling by high throughput sequencing",TXT,coding,natural cycle,healthy ,"	Global transcriptomic changes occur in uterine fluid-derived extracellular vesicles (UF-EVs) during the endometrial window for embryo implantation","	Public on Jul 01, 2021"
GSE97929,37,49,0,(Early secretory and mid-secretory phase),Illumina HiSeq 2000,Expression profiling by high throughput sequencing,TXT,coding,natural cycle,healthy,"	Endometrial cell-type specific RNA-seq","	Public on Nov 07, 2017"
GSE146777,3,3,3,24 samples (9 normal control 15 progesterone treated) ,"[Clariom_S_Human] Affymetrix Clariom S Assay, Human (Includes Pico Assay)",Expression profiling by array,CEL,coding,natural cycle,control vs progestron levels healthy vs healthy,"	The impact of progesterone levels and timing of progesterone exposure on human endometrial receptivity","	Public on Mar 12, 2020"
E-MEXP-3111,0,4,0,"12 samples (4 secretory, 4 proliferative and 4 embryo)",A-AFFY-44 - Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],Expression profiling by array,TXT,coding,natural cycle,healthy,,
E-MTAB-9260,4,0,0,8 samples (4 eary secretory and 4 proliferative phase),RNA-seq of coding RNA from single cells,"	Expression profiling by high throughput sequencing",,coding,natural cycle,healthy,,
GSE132711 ,0,10,0,20(proliferative phase),Illumina HiSeq 2000,Expression profiling by high throughput sequencing,TXT,coding,natural,proliferative vs mid-secretory phase (healthy),Endometrial transcriptome and PGR cistrome in cycling fertile women [RNA-seq],"Public on Nov 27, 2019"
GSE132712 ,0,3,0,7(proliferative phase/Pooled input),Illumina HiSeq 2000,enome binding/occupancy profiling by high throughput sequencing,TAR,coding,natural,proliferative vs mid-secretory phase (healthy),Endometrial transcriptome and PGR cistrome in cycling fertile women [ChIP-seq],"Public on Nov 27, 2019"
GSE185392,0,10,0,20(Mid secretory phase),Illumina NovaSeq 6000 ,Expression profiling by high throughput sequencing,TXT,coding,natural,Adenomyosis case,Transcriptomics of receptive endometrium in women with sonographic features of adenomyosis,"	Public on Jan 03, 2022"
 GSE163936,0,6,0,6 samples ,Illumina NovaSeq 6000 ,"	Expression profiling by high throughput sequencing",TXT,coding,natural,Gene expression profile of PK2 overexpression group through lentivirus infection compared with control group in decidualized cells,The role of Prokineticin 2 in endometrial decidualization,"Public on Dec 29, 2020"
GSE141239,0,4,0,4 samples (Mid-secretory phase),Illumina HiSeq 2500 (Homo sapiens),Expression profiling by high throughput sequencing,"	SRA",coding,natural,Ishikawa control vs CDYL knock out,"	Biological significance of CDYL in endometrial receptivity","	Public on Sep 28, 2020"
GSE180485,0,57,0,108 samples (Mid-secretory phase) (57 live birth),Illumina HiSeq 4000 (Homo sapiens),"	Expression profiling by high throughput sequencing",,coding,natural,live birth vs miscarrage vs ongoing,EndoTime: Non-categorical timing estimates for endometrial tissue during the secretory phase,"Public on Dec 04, 2021"
GSE183555,0,10,0,10 samples (mid-secretory phase),NextSeq 550 (Homo sapiens),"	Expression profiling by high throughput sequencing",,coding,,Healthy vs Recurrent pregnancy loss,RNA sequencing of endometrial glands during the implantation window in women with recurrent pregnancy loss,"	Public on Sep 23, 2021"
GSE65099,0,20,0,20 samples (Mid-secretory phase),Illumina HiSeq 2000,Expression profiling by high throughput sequencing,,coding,natural cycle,Healthy vs recurrenty miscarriage,Loss of endometrial plasticity in recurrent pregnancy loss (RNA-Seq),"Public on Sep 16, 2015"
GSE84169,3,3,4,10 samples (mid-secretory phase),"Illumina HiSeq 2500 (Homo sapiens)/GPL20301	Illumina HiSeq 4000 (Homo sapiens)","	Expression profiling by high throughput sequencing",TXT,coding,natural cycle,pregnancy loss in different phases Human microdissected endometrial gland,Changes in human endometrial gland transcriptome over the window of implantation,"	Public on Jul 07, 2019"
GSE119209,0,5,0,proliferative and mid-secretory (11 samples),Illumina HiSeq 2500 ,"	Expression profiling by high throughput sequencing",TXT,coding,natural cycle,healthy (only mid-secretory phase),Determination of the Forkhead box A2 (FOXA2) Cistrome in the Human Endometrium,"	Public on Aug 30, 2018"
GSE107914,0,3,0,mid-secretory,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version),Expression profiling by array,TXT,coding,natural cycle,healthy (only mid-secretory phase),Increased AIF-1-mediated TNF-α expression during the implantation phase in IVF cycles with GnRH antagonist protocol,"	Public on Jun 27, 2018"
E-GEOD-46721(GSE46721),8,0,0,8 samples (early secretory phase),Agilent-026652 Whole Human Genome Microarray 4x44K v2 (Feature Number version),Expression profiling by array,GPR,Non-coding,natural cycle,"transfected with miRNAs for 72 hours under two conditions (four scramble, four miR-30d mimic)","	Transcriptomic effects of miR-30d transient over-expression in human endometrial epithelial cells.","Public on Feb 03, 2014"
 GSE137354,0,6,0,6 samples ,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],Expression profiling by array,CEL,coding,natural,healthy vs PCOS,Coding and Non-coding gene expression signatures of endometrium from Polycystic Ovary Syndrome Patients,"	Public on Sep 13, 2019"
GSE180728,0,15,0,15 samples,Illumina NovaSeq 6000,Expression profiling by high throughput sequencing,TXT,coding,Natural cycle,B Cell Subset Analysis and Gene Expression Characterization in Mid-Luteal Endometrium,RNA-seq of Human Endometrial B Cells During the Mid-luteal Phase,"Public on Jul 24, 2021"
GSE48301,0,15,0,29 samples (15 control samples and 14 samples PCOS) (Poleferative phase),[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],Expression profiling by array,CEL,coding,natural cycle,eEPPCOS and eEPCtrl (endometrial epithelial cells),Mesenchymal Stem/Progenitors and Other Endometrial Cell Types from Women with Polycystic Ovary Syndrome (PCOS) Display Inflammatory and Oncogenic Potential,"Public on Sep 30, 2013"
GSE102131,0,20,0,20 samples (Mid-secretory phase),Illumina HiSeq 2500 (Homo sapiens),Expression profiling by high throughput sequencing,TXT,coding,Natural cycle,young vs aged women,Genome wide expression analysis of young and aged human endometrium,"Public on Jan 08, 2020"
